attribute,segment,n,responders,contact_rate,recall,response_rate
GENDER,(missing),320,24,0.896875,0.875,0.075
GENDER,F,6131,282,0.8548360789430761,0.950354609929078,0.045995759256238784
GENDER,J,50,3,0.92,1.0,0.06
GENDER,M,4712,258,0.8397707979626485,0.9224806201550387,0.05475382003395586
GENDER,U,237,14,0.8565400843881856,0.9285714285714286,0.05907172995780591
AGE band,(missing),2873,142,0.8322311172989906,0.9366197183098591,0.04942568743473721
AGE band,20-29,134,5,0.7835820895522388,0.8,0.03731343283582089
AGE band,30-39,713,27,0.7938288920056101,0.9629629629629629,0.037868162692847124
AGE band,40-49,1485,57,0.8417508417508418,0.9473684210526315,0.03838383838383838
AGE band,50-59,1620,96,0.8438271604938271,0.9270833333333334,0.05925925925925926
AGE band,60-69,1526,99,0.8663171690694627,0.8888888888888888,0.06487549148099607
AGE band,70-79,1766,93,0.9031710079275198,0.956989247311828,0.05266138165345413
AGE band,80-99,1333,62,0.8537134283570893,0.967741935483871,0.046511627906976744
INCOME,(missing),2547,131,0.8943855516293678,0.9618320610687023,0.05143305850019631
INCOME,1,1044,54,0.617816091954023,0.8518518518518519,0.05172413793103448
INCOME,2,1636,71,0.7842298288508558,0.8873239436619719,0.04339853300733496
INCOME,3,1024,55,0.873046875,0.9272727272727272,0.0537109375
INCOME,4,1494,63,0.8875502008032129,0.9206349206349206,0.04216867469879518
INCOME,5,1857,93,0.8874528809908454,0.989247311827957,0.050080775444264945
INCOME,6,941,51,0.9107332624867163,0.9215686274509803,0.05419766206163656
INCOME,7,907,63,0.8853362734288864,0.9523809523809523,0.06945975744211687
